"site","freq","mod","freqBin","amp"
"Florida","6Hz","box",64.2857142857143,0.0371872133333333
"Florida","6Hz","box",64.7142857142857,0.03693501
"Florida","6Hz","box",65.1428571428571,0.0366944566666667
"Florida","6Hz","box",65.5714285714286,0.03645324
"Florida","6Hz","box",66,0.0363032066666667
"Florida","6Hz","box",66.4285714285714,0.0359931133333333
"Florida","6Hz","box",66.8571428571428,0.0357672366666667
"Florida","6Hz","box",67.2857142857143,0.0355390966666667
"Florida","6Hz","box",67.7142857142857,0.0353269333333333
"Florida","6Hz","box",68.1428571428571,0.03510325
"Florida","6Hz","box",68.5714285714286,0.0348866866666667
"Florida","6Hz","box",69,0.0346730866666667
"Florida","6Hz","box",69.4285714285714,0.03446202
"Florida","6Hz","box",69.8571428571428,0.03426082
"Florida","6Hz","box",70.2857142857143,0.03405699
"Florida","6Hz","box",70.7142857142857,0.0338537733333333
"Florida","6Hz","box",71.1428571428571,0.0336595666666667
"Florida","6Hz","box",71.5714285714286,0.0334515033333333
"Florida","6Hz","box",72,0.0332463633333333
"Florida","6Hz","box",72.4285714285714,0.0330737466666667
"Florida","6Hz","box",72.8571428571428,0.0328922466666667
"Florida","6Hz","box",73.2857142857143,0.0326917466666667
"Florida","6Hz","box",73.7142857142857,0.03248236
"Florida","6Hz","box",74.1428571428571,0.03243918
"Florida","6Hz","box",74.5714285714286,0.0321910266666667
"Florida","6Hz","box",75,0.0319973633333333
"Florida","6Hz","box",75.4285714285714,0.03182141
"Florida","6Hz","box",75.8571428571428,0.0316459366666667
"Florida","6Hz","box",76.2857142857143,0.0314700733333333
"Florida","6Hz","box",76.7142857142857,0.03130013
"Florida","6Hz","box",77.1428571428571,0.0311391933333333
"Florida","6Hz","box",77.5714285714286,0.0309791633333333
"Florida","6Hz","box",78,0.0308312466666667
"Florida","6Hz","box",78.4285714285714,0.0306566766666667
"Florida","6Hz","box",78.8571428571428,0.03050055
"Florida","6Hz","box",79.2857142857143,0.0303442833333333
"Florida","6Hz","box",79.7142857142857,0.0301928866666667
"Florida","6Hz","box",80.1428571428571,0.0300381966666667
"Florida","6Hz","box",80.5714285714286,0.0298899233333333
"Florida","6Hz","box",81,0.0297414866666667
"Florida","6Hz","box",81.4285714285714,0.0295943633333333
"Florida","6Hz","box",81.8571428571428,0.02944838
"Florida","6Hz","box",82.2857142857143,0.029307
"Florida","6Hz","box",82.7142857142857,0.0291663366666667
"Florida","6Hz","box",83.1428571428571,0.0290264033333333
"Florida","6Hz","box",83.5714285714286,0.0288861766666667
"Florida","6Hz","box",84,0.0287479433333333
"Florida","6Hz","box",84.4285714285714,0.0286142733333333
"Florida","6Hz","box",84.8571428571428,0.02848111
"Florida","6Hz","box",85.2857142857143,0.02835071
"Florida","6Hz","box",85.7142857142857,0.02822528
"Florida","6Hz","box",86.1428571428571,0.028072183
"Florida","6Hz","box",86.5714285714286,0.0279554583333333
"Florida","6Hz","box",87,0.0278311673333333
"Florida","6Hz","box",87.4285714285714,0.027705674
"Florida","6Hz","box",87.8571428571428,0.027580332
"Florida","6Hz","box",88.2857142857143,0.0274617136666667
"Florida","6Hz","box",88.7142857142857,0.0273428956666667
"Florida","6Hz","box",89.1428571428571,0.0272196296666667
"Florida","6Hz","box",89.5714285714286,0.0271022793333333
"Florida","6Hz","box",90,0.0269838493333333
"Florida","6Hz","box",90.4285714285714,0.0268672583333333
"Florida","6Hz","box",90.8571428571428,0.026756005
"Florida","6Hz","box",91.2857142857143,0.0266452526666667
