"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","sine","E59",-49.0164711950736,-60.6384229311954,4.42155866666667
"Florida","6Hz","sine","E60",-33.5739711579434,-49.4397118183913,4.70221933333333
"Florida","6Hz","sine","E61",-17.5616376782163,-41.0535015078989,4.21438
"Florida","6Hz","sine","E62",6.24863782796946e-15,-51.024,8.13743333333333
"Florida","6Hz","sine","E63",-111.844618176326,-90.215004411638,4.78531333333333
"Florida","6Hz","sine","E64",-82.7166311762146,-89.8591836311575,3.44020066666667
"Florida","6Hz","sine","E65",-53.2724548220446,-83.4923179534095,4.613702
"Florida","6Hz","sine","E66",-32.9982073155436,-70.0930032026051,5.06983133333333
"Florida","6Hz","sine","E67",-14.9843695227892,-59.7435310808167,4.86366733333333
"Florida","6Hz","sine","E68",-70.8544927411257,-119.808404222733,4.97498666666667
"Florida","6Hz","sine","E69",-50.7971288111611,-109.433046236237,3.31420066666667
"Florida","6Hz","sine","E70",-29.8089612459443,-93.6860097636664,6.07140866666667
"Florida","6Hz","sine","E71",-12.5941162529112,-75.6650426009803,7.55301333333333
"Florida","6Hz","sine","E72",8.04078595384169e-15,-65.658,9.67268666666667
"Florida","6Hz","sine","E73",-34.2137515878335,-132.964697639208,6.6579
"Florida","6Hz","sine","E74",-15.7052501655887,-118.019611578908,6.372714
"Florida","6Hz","sine","E75",1.18239648457677e-14,-96.55,13.0356
"Florida","6Hz","sine","E76",12.5941162529112,-75.6650426009803,10.1940786666667
"Florida","6Hz","sine","E77",14.9843695227892,-59.7435310808167,10.291
"Florida","6Hz","sine","E78",17.5616376782163,-41.0535015078989,5.57233466666667
"Florida","6Hz","sine","E79",16.3380561246601,-24.5721384105547,3.95570733333333
"Florida","6Hz","sine","E80",14.2590609871468,-4.99065843399723,2.58741866666667
"Florida","6Hz","sine","E81",1.66253150865048e-14,-135.756,6.73590666666667
"Florida","6Hz","sine","E82",15.7052501655887,-118.019611578908,5.64318666666667
"Florida","6Hz","sine","E83",29.8089612459443,-93.6860097636664,8.34739
"Florida","6Hz","sine","E84",32.9982073155436,-70.0930032026051,6.70670866666667
"Florida","6Hz","sine","E85",33.5739711579434,-49.4397118183913,5.64880933333333
"Florida","6Hz","sine","E86",31.8703858461666,-30.6802729781934,4.97093333333333
"Florida","6Hz","sine","E87",29.3939238752213,-11.4188613800894,3.19064266666667
"Florida","6Hz","sine","E88",34.2137515878335,-132.964697639208,5.17326666666667
"Florida","6Hz","sine","E89",50.7971288111611,-109.433046236237,3.262694
"Florida","6Hz","sine","E90",53.2724548220446,-83.4923179534095,5.103686
"Florida","6Hz","sine","E91",49.0164711950736,-60.6384229311954,6.43404
"Florida","6Hz","sine","E92",49.3286473753904,-38.0293353099208,3.65712133333333
"Florida","6Hz","sine","E93",48.4277069849025,-19.0176228846936,2.10196533333333
"Florida","6Hz","sine","E94",70.8544927411257,-119.808404222733,4.94472
"Florida","6Hz","sine","E95",82.7166311762146,-89.8591836311575,3.10142666666667
"Florida","6Hz","sine","E96",72.0824426385969,-68.7392048197634,5.78759266666667
"Florida","6Hz","sine","E97",64.3973497966683,-45.8325114211031,3.81635
"Florida","6Hz","sine","E98",61.3490707363697,-27.4299165836118,2.66882733333333
"Florida","6Hz","sine","E99",111.844618176326,-90.215004411638,5.00367533333333
"Florida","6Hz","sine","E100",107.771903337525,-61.2478444600876,3.41069666666667
"Florida","6Hz","sine","E101",87.6147402607277,-51.9804690729627,2.981376
