"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","sine","E19",-23.6192388587642,58.8318312797812,0.182274866666667
"Florida","6Hz","sine","E20",-31.3121246459833,41.9182840077502,0.175425306666667
"Florida","6Hz","sine","E21",-14.1187002915317,105.342066422099,0.209751666666667
"Florida","6Hz","sine","E22",-26.8737792539972,88.585411736964,0.2277222
"Florida","6Hz","sine","E23",-35.2634825458284,69.6677676887961,0.196678133333333
"Florida","6Hz","sine","E24",-39.5281102525102,53.3724044414846,0.1818238
"Florida","6Hz","sine","E25",-51.097415472918,96.8083637295249,0.187966466666667
"Florida","6Hz","sine","E26",-60.5117564493148,76.717478004812,0.151571266666667
"Florida","6Hz","sine","E27",-56.2717346283799,54.0022587112168,0.161120266666667
"Florida","6Hz","sine","E28",-50.0298983002845,37.5034658673461,0.169325733333333
"Florida","6Hz","sine","E29",-39.6304283909149,22.4510456227002,0.193689533333333
"Florida","6Hz","sine","E30",-28.5960902390953,7.43167134886356,0.2542934
"Florida","6Hz","sine","E31",-14.2590609871468,-4.99065843399723,0.253748266666667
"Florida","6Hz","sine","E32",-86.719831310897,82.7208230943671,0.159000333333333
"Florida","6Hz","sine","E33",-86.5427774390136,55.8179182444255,0.1849168
"Florida","6Hz","sine","E34",-73.2735964589411,31.8739532843394,0.153182666666667
"Florida","6Hz","sine","E35",-58.7070104036568,13.6367088941921,0.140448666666667
"Florida","6Hz","sine","E36",-45.139000940819,2.34746545549408,0.3057586
"Florida","6Hz","sine","E37",-29.3939238752213,-11.4188613800894,0.220047666666667
"Florida","6Hz","sine","E38",-111.066561880691,61.2336542760814,0.184193866666667
"Florida","6Hz","sine","E39",-106.979294016482,12.6447944916077,0.1903478
"Florida","6Hz","sine","E40",-82.0312253490634,0.356499272328901,0.2016164
"Florida","6Hz","sine","E41",-62.3658981365752,-7.23363018257962,0.236880133333333
"Florida","6Hz","sine","E42",-48.4277069849025,-19.0176228846936,0.260417333333333
