"lab","freq","mod","electrode","x","y","amplitude","amplitudeSNR"
"Florida","6Hz","sine","E69",-50.7971288111611,-109.433046236237,8.25086666666667,4.67556526289262
"Florida","6Hz","sine","E70",-29.8089612459443,-93.6860097636664,13.4796466666667,5.45778095850842
"Florida","6Hz","sine","E71",-12.5941162529112,-75.6650426009803,12.56522,5.50960361866352
"Florida","6Hz","sine","E72",8.04078595384169e-15,-65.658,18.5202666666667,5.80471675492126
"Florida","6Hz","sine","E73",-34.2137515878335,-132.964697639208,13.30652,4.91119362359175
"Florida","6Hz","sine","E74",-15.7052501655887,-118.019611578908,10.4911733333333,5.71972189059361
"Florida","6Hz","sine","E75",1.18239648457677e-14,-96.55,16.9540733333333,7.18737919692449
"Florida","6Hz","sine","E76",12.5941162529112,-75.6650426009803,16.6317133333333,6.64021900293525
"Florida","6Hz","sine","E77",14.9843695227892,-59.7435310808167,16.02716,6.04423528941257
"Florida","6Hz","sine","E78",17.5616376782163,-41.0535015078989,11.45676,5.04551690579605
"Florida","6Hz","sine","E79",16.3380561246601,-24.5721384105547,10.0296533333333,4.64175018247097
"Florida","6Hz","sine","E80",14.2590609871468,-4.99065843399723,12.3362533333333,4.356746767676
"Florida","6Hz","sine","E81",1.66253150865048e-14,-135.756,12.9632733333333,5.0153033135379
"Florida","6Hz","sine","E82",15.7052501655887,-118.019611578908,9.66788666666667,5.57197468030992
"Florida","6Hz","sine","E83",29.8089612459443,-93.6860097636664,13.20314,6.33264016304954
"Florida","6Hz","sine","E84",32.9982073155436,-70.0930032026051,12.3820733333333,5.19103902714088
"Florida","6Hz","sine","E85",33.5739711579434,-49.4397118183913,11.9283666666667,4.88644611178869
"Florida","6Hz","sine","E86",31.8703858461666,-30.6802729781934,12.6139333333333,4.701201509441
"Florida","6Hz","sine","E87",29.3939238752213,-11.4188613800894,10.3186,4.54182846010098
"Florida","6Hz","sine","E88",34.2137515878335,-132.964697639208,13.2948733333333,4.60779263214612
"Florida","6Hz","sine","E89",50.7971288111611,-109.433046236237,9.38906666666667,4.5810338772594
"Florida","6Hz","sine","E90",53.2724548220446,-83.4923179534095,11.7130133333333,5.12882907302
"Florida","6Hz","sine","E91",49.0164711950736,-60.6384229311954,12.50142,5.30045759768252
"Florida","6Hz","sine","E92",49.3286473753904,-38.0293353099208,9.30499333333333,4.84818261220779
"Florida","6Hz","sine","E93",48.4277069849025,-19.0176228846936,9.55514666666667,4.53037982894616
"Florida","6Hz","sine","E94",70.8544927411257,-119.808404222733,13.8040133333333,4.45884159132791
"Florida","6Hz","sine","E95",82.7166311762146,-89.8591836311575,8.71827333333333,4.20617575547845
"Florida","6Hz","sine","E96",72.0824426385969,-68.7392048197634,11.9154133333333,5.2258302996831
"Florida","6Hz","sine","E97",64.3973497966683,-45.8325114211031,8.97508666666667,4.80417815349151
"Florida","6Hz","sine","E98",61.3490707363697,-27.4299165836118,9.68650666666667,4.73891451961629
"Florida","6Hz","sine","E99",111.844618176326,-90.215004411638,16.7662133333333,4.36869270392836
"Florida","6Hz","sine","E100",107.771903337525,-61.2478444600876,12.9376666666667,4.31489389231359
"Florida","6Hz","sine","E101",87.6147402607277,-51.9804690729627,9.45993333333333,4.56943944794763
"Florida","6Hz","sine","E102",77.0757795587277,-24.2279722926707,11.6697933333333,4.55259775608425
"Florida","6Hz","sine","E103",62.3658981365752,-7.23363018257962,7.92005333333333,4.34550880861046
"Florida","6Hz","sine","E104",45.139000940819,2.34746545549408,8.94493333333333,4.49419961530759
"Florida","6Hz","sine","E105",28.5960902390953,7.43167134886356,9.97667333333333,4.3757402223003
"Florida","6Hz","sine","E106",9.06629877496366,11.5485593631021,13.24988,4.64075190854042
"Florida","6Hz","sine","E107",134.514184844694,-53.5568924748948,17.40442,4.31525896684158
"Florida","6Hz","sine","E108",102.023724252225,-26.0624191069444,10.7676666666667,4.17874143003314
"Florida","6Hz","sine","E109",82.0312253490634,0.356499272328901,10.00502,4.35694589387546
"Florida","6Hz","sine","E110",58.7070104036568,13.6367088941921,7.86270666666667,4.24514241137575
"Florida","6Hz","sine","E111",39.6304283909149,22.4510456227002,9.10168666666667,4.39855241801114
"Florida","6Hz","sine","E112",18.7176485153145,25.0067456910559,12.9934,4.55313613546382
"Florida","6Hz","sine","E113",148.427539841507,9.81951733019121,18.6585666666667,4.24545180484326
"Florida","6Hz","sine","E114",127.856243406767,23.8953117140088,14.3490466666667,4.15773677460685
"Florida","6Hz","sine","E115",106.979294016482,12.6447944916077,12.7406666666667,4.38060650996465
"Florida","6Hz","sine","E116",73.2735964589411,31.8739532843394,8.20083333333333,4.22477813543175
"Florida","6Hz","sine","E117",50.0298983002845,37.5034658673461,8.77298666666667,4.2737951442973
"Florida","6Hz","sine","E118",31.3121246459833,41.9182840077502,9.64095333333333,4.29510384438155
"Florida","6Hz","sine","E119",147.073602828489,55.1905344696692,18.2269733333333,4.19802765749628
"Florida","6Hz","sine","E120",132.385776483018,49.089223063604,14.45834,4.21052563520799
"Florida","6Hz","sine","E121",111.066561880691,61.2336542760814,12.1459866666667,4.25626269761618
"Florida","6Hz","sine","E122",86.5427774390136,55.8179182444255,10.93224,4.30563371090785
"Florida","6Hz","sine","E123",56.2717346283799,54.0022587112168,9.29385333333333,4.29679025800361
"Florida","6Hz","sine","E124",39.5281102525102,53.3724044414846,9.93780666666667,4.28971870475311
"Florida","6Hz","sine","E125",107.29091960617,79.3302648808283,13.4679866666667,4.30892660510004
"Florida","6Hz","sine","E126",71.1683422201787,126.406610434864,16.4279933333333,4.34053929865834
"Florida","6Hz","sine","E127",-71.1683422201787,126.406610434864,17.8101866666667,4.60629138167371
"Florida","6Hz","sine","E128",-107.29091960617,79.3302648808283,13.0410066666667,4.42736851812612
"Florida","6Hz","sine","Cz",0,0,15.2718533333333,4.4711998759293
"Florida","8.57Hz","square","E1",86.719831310897,82.7208230943671,10.0027866666667,5.63853470740961
"Florida","8.57Hz","square","E2",60.5117564493148,76.717478004812,9.11248666666667,5.1431447881428
"Florida","8.57Hz","square","E3",35.2634825458284,69.6677676887961,8.78084666666667,5.60185321141299
"Florida","8.57Hz","square","E4",23.6192388587642,58.8318312797812,8.43035333333333,5.42753037719728
"Florida","8.57Hz","square","E5",11.4069836172611,43.8485528695707,8.30891333333333,5.38842331316642
"Florida","8.57Hz","square","E6",0,28.614,9.01644666666667,5.65772959474867
"Florida","8.57Hz","square","E7",-9.06629877496366,11.5485593631021,8.28457333333333,6.08679983808478
"Florida","8.57Hz","square","E8",51.097415472918,96.8083637295249,10.1509333333333,5.46958777654525
