"site","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","sine","Cz",0,0,0.291595266666667
"Florida","8.57Hz","box","E1",86.719831310897,82.7208230943671,0.528547333333333
"Florida","8.57Hz","box","E2",60.5117564493148,76.717478004812,0.554288066666667
"Florida","8.57Hz","box","E3",35.2634825458284,69.6677676887961,0.6262966
"Florida","8.57Hz","box","E4",23.6192388587642,58.8318312797812,0.623521733333333
"Florida","8.57Hz","box","E5",11.4069836172611,43.8485528695707,0.577168
"Florida","8.57Hz","box","E6",0,28.614,0.484156
"Florida","8.57Hz","box","E7",-9.06629877496366,11.5485593631021,0.3664566
"Florida","8.57Hz","box","E8",51.097415472918,96.8083637295249,0.494567333333333
"Florida","8.57Hz","box","E9",26.8737792539972,88.585411736964,0.570616666666667
"Florida","8.57Hz","box","E10",16.0697667431522,76.4350039760624,0.621079733333333
"Florida","8.57Hz","box","E11",0,64.048,0.618398933333333
"Florida","8.57Hz","box","E12",-11.4069836172611,43.8485528695707,0.514506
"Florida","8.57Hz","box","E13",-18.7176485153145,25.0067456910559,0.447598666666667
"Florida","8.57Hz","box","E14",14.1187002915317,105.342066422099,0.473228333333333
"Florida","8.57Hz","box","E15",0,90.726,0.556964666666667
"Florida","8.57Hz","box","E16",0,79.014,0.617224666666667
"Florida","8.57Hz","box","E17",0,114.908,0.415842066666667
"Florida","8.57Hz","box","E18",-16.0697667431522,76.4350039760624,0.609276
"Florida","8.57Hz","box","E19",-23.6192388587642,58.8318312797812,0.616537333333333
"Florida","8.57Hz","box","E20",-31.3121246459833,41.9182840077502,0.513854066666667
"Florida","8.57Hz","box","E21",-14.1187002915317,105.342066422099,0.466016666666667
"Florida","8.57Hz","box","E22",-26.8737792539972,88.585411736964,0.542172
"Florida","8.57Hz","box","E23",-35.2634825458284,69.6677676887961,0.597512
"Florida","8.57Hz","box","E24",-39.5281102525102,53.3724044414846,0.566757666666667
"Florida","8.57Hz","box","E25",-51.097415472918,96.8083637295249,0.427051466666667
"Florida","8.57Hz","box","E26",-60.5117564493148,76.717478004812,0.493924066666667
"Florida","8.57Hz","box","E27",-56.2717346283799,54.0022587112168,0.537144533333333
"Florida","8.57Hz","box","E28",-50.0298983002845,37.5034658673461,0.486730266666667
"Florida","8.57Hz","box","E29",-39.6304283909149,22.4510456227002,0.425724666666667
"Florida","8.57Hz","box","E30",-28.5960902390953,7.43167134886356,0.379816533333333
"Florida","8.57Hz","box","E31",-14.2590609871468,-4.99065843399723,0.3682502
"Florida","8.57Hz","box","E32",-86.719831310897,82.7208230943671,0.437390666666667
"Florida","8.57Hz","box","E33",-86.5427774390136,55.8179182444255,0.430422666666667
"Florida","8.57Hz","box","E34",-73.2735964589411,31.8739532843394,0.415396933333333
"Florida","8.57Hz","box","E35",-58.7070104036568,13.6367088941921,0.371270533333333
"Florida","8.57Hz","box","E36",-45.139000940819,2.34746545549408,0.333973533333333
"Florida","8.57Hz","box","E37",-29.3939238752213,-11.4188613800894,0.292636
"Florida","8.57Hz","box","E38",-111.066561880691,61.2336542760814,0.4161494
"Florida","8.57Hz","box","E39",-106.979294016482,12.6447944916077,0.3823482
"Florida","8.57Hz","box","E40",-82.0312253490634,0.356499272328901,0.296400733333333
"Florida","8.57Hz","box","E41",-62.3658981365752,-7.23363018257962,0.267272333333333
"Florida","8.57Hz","box","E42",-48.4277069849025,-19.0176228846936,0.250641733333333
"Florida","8.57Hz","box","E43",-132.385776483018,49.089223063604,0.4004116
"Florida","8.57Hz","box","E44",-127.856243406767,23.8953117140088,0.407639733333333
"Florida","8.57Hz","box","E45",-102.023724252225,-26.0624191069444,0.261725
"Florida","8.57Hz","box","E46",-77.0757795587277,-24.2279722926707,0.211003933333333
"Florida","8.57Hz","box","E47",-61.3490707363697,-27.4299165836118,0.220464333333333
"Florida","8.57Hz","box","E48",-147.073602828489,55.1905344696692,0.334186666666667
"Florida","8.57Hz","box","E49",-148.427539841507,9.81951733019121,0.347979866666667
"Florida","8.57Hz","box","E50",-87.6147402607277,-51.9804690729627,0.315879
"Florida","8.57Hz","box","E51",-64.3973497966683,-45.8325114211031,0.210691066666667
"Florida","8.57Hz","box","E52",-49.3286473753904,-38.0293353099208,0.363630066666667
"Florida","8.57Hz","box","E53",-31.8703858461666,-30.6802729781934,0.427816666666667
"Florida","8.57Hz","box","E54",-16.3380561246601,-24.5721384105547,0.461520666666667
"Florida","8.57Hz","box","E55",1.86009153028893e-15,-15.1888,0.4399458
"Florida","8.57Hz","box","E56",-134.514184844694,-53.5568924748948,0.346113466666667
"Florida","8.57Hz","box","E57",-107.771903337525,-61.2478444600876,0.3638764
"Florida","8.57Hz","box","E58",-72.0824426385969,-68.7392048197634,0.417980266666667
"Florida","8.57Hz","box","E59",-49.0164711950736,-60.6384229311954,0.600478
"Florida","8.57Hz","box","E60",-33.5739711579434,-49.4397118183913,0.621498666666667
"Florida","8.57Hz","box","E61",-17.5616376782163,-41.0535015078989,0.632985333333333
"Florida","8.57Hz","box","E62",6.24863782796946e-15,-51.024,0.953214
"Florida","8.57Hz","box","E63",-111.844618176326,-90.215004411638,0.418817866666667
"Florida","8.57Hz","box","E64",-82.7166311762146,-89.8591836311575,0.4752382
"Florida","8.57Hz","box","E65",-53.2724548220446,-83.4923179534095,0.742307333333333
"Florida","8.57Hz","box","E66",-32.9982073155436,-70.0930032026051,0.921914
"Florida","8.57Hz","box","E67",-14.9843695227892,-59.7435310808167,0.922032666666667
"Florida","8.57Hz","box","E68",-70.8544927411257,-119.808404222733,0.66369
"Florida","8.57Hz","box","E69",-50.7971288111611,-109.433046236237,0.782086
"Florida","8.57Hz","box","E70",-29.8089612459443,-93.6860097636664,1.154126
"Florida","8.57Hz","box","E71",-12.5941162529112,-75.6650426009803,1.277574
"Florida","8.57Hz","box","E72",8.04078595384169e-15,-65.658,1.20696
"Florida","8.57Hz","box","E73",-34.2137515878335,-132.964697639208,0.899174666666667
"Florida","8.57Hz","box","E74",-15.7052501655887,-118.019611578908,1.102926
"Florida","8.57Hz","box","E75",1.18239648457677e-14,-96.55,1.45984266666667
"Florida","8.57Hz","box","E76",12.5941162529112,-75.6650426009803,1.38439533333333
"Florida","8.57Hz","box","E77",14.9843695227892,-59.7435310808167,1.08243466666667
"Florida","8.57Hz","box","E78",17.5616376782163,-41.0535015078989,0.70169
"Florida","8.57Hz","box","E79",16.3380561246601,-24.5721384105547,0.441735466666667
"Florida","8.57Hz","box","E80",14.2590609871468,-4.99065843399723,0.349927333333333
"Florida","8.57Hz","box","E81",1.66253150865048e-14,-135.756,0.986615333333333
"Florida","8.57Hz","box","E82",15.7052501655887,-118.019611578908,1.01570733333333
"Florida","8.57Hz","box","E83",29.8089612459443,-93.6860097636664,1.20861133333333
"Florida","8.57Hz","box","E84",32.9982073155436,-70.0930032026051,0.978014666666667
"Florida","8.57Hz","box","E85",33.5739711579434,-49.4397118183913,0.659514666666667
"Florida","8.57Hz","box","E86",31.8703858461666,-30.6802729781934,0.473671333333333
"Florida","8.57Hz","box","E87",29.3939238752213,-11.4188613800894,0.338534666666667
"Florida","8.57Hz","box","E88",34.2137515878335,-132.964697639208,0.814836
"Florida","8.57Hz","box","E89",50.7971288111611,-109.433046236237,0.731843333333333
"Florida","8.57Hz","box","E90",53.2724548220446,-83.4923179534095,0.667706533333333
"Florida","8.57Hz","box","E91",49.0164711950736,-60.6384229311954,0.534742666666667
"Florida","8.57Hz","box","E92",49.3286473753904,-38.0293353099208,0.335427066666667
"Florida","8.57Hz","box","E93",48.4277069849025,-19.0176228846936,0.311794466666667
"Florida","8.57Hz","box","E94",70.8544927411257,-119.808404222733,0.616128
"Florida","8.57Hz","box","E95",82.7166311762146,-89.8591836311575,0.433726
