"lab","freq","mod","trial","amplitude","amplitude_smoothed","SNR","SNR_smoothed"
"Florida","6Hz","sine",45,16.1779307692308,15.2630765819408,8.48194230769231,7.24404177788121
"Florida","6Hz","sine",46,17.1678692307692,15.2023293092135,8.85381923076923,7.12850769995913
"Florida","6Hz","sine",47,16.4346545454545,15.1576940364862,7.94794090909091,7.39256933632277
"Florida","6Hz","sine",48,15.5764045454545,14.9476374368359,6.60324772727273,7.31555875939969
"Florida","6Hz","sine",49,12.5132357142857,15.3049091413813,6.24597142857143,7.54085016091484
"Florida","6Hz","sine",50,12.6528083333333,15.7761856565329,6.80934166666667,7.53259829727848
"Florida","6Hz","sine",51,16.23925,16.1791626573099,5.676613,7.6297212188014
"Florida","6Hz","sine",52,14.9996745,16.1910304545127,8.204103,7.48331574327692
"Florida","6Hz","sine",53,14.64458125,16.0009431094713,7.2722875,7.50067111517775
"Florida","6Hz","sine",54,18.0447083333333,15.6670736879837,10.07415,7.41652223088023
"Florida","6Hz","sine",55,19.086925,15.5716944672045,6.6891645,7.33836411399711
"Florida","6Hz","sine",56,20.6106777777778,15.9920770429621,9.55029444444444,7.29129098268398
"Florida","6Hz","sine",57,17.298415,16.0416463611439,7.243359,7.31073146753247
"Florida","6Hz","sine",58,14.34369375,16.0700598681369,8.13885,7.11999588011988
"Florida","6Hz","sine",59,11.9038409090909,16.1927792999551,5.67761,7.04696792557443
"Florida","6Hz","sine",60,11.4640642857143,15.9100362696521,5.38623214285714,6.92251110739261
"Florida","6Hz","sine",61,17.2770166666667,15.4053054845281,6.29153722222222,6.92109354954137
"Florida","6Hz","sine",62,16.7845125,15.1213534643261,5.89045833333333,6.78351274146056
"Florida","6Hz","sine",63,15.3122230769231,14.8035258380635,6.10601153846154,6.64272960004642
"Florida","6Hz","sine",64,15.994495,15.1768622648311,6.46898,6.66557858994541
"Florida","6Hz","sine",65,14.934535,15.360721677136,8.705125,6.63644187277369
"Florida","6Hz","sine",66,13.5348863636364,15.9169008979152,6.67357136363636,6.7334116779685
"Florida","6Hz","sine",67,17.4872055555556,16.0381435976397,8.03690555555556,6.88513019495656
"Florida","6Hz","sine",68,13.8023111111111,15.8780048579703,5.69474444444444,7.0956815034965
"Florida","6Hz","sine",69,18.4503944444444,15.9780874191591,8.39018888888889,7.39877471590909
"Florida","6Hz","sine",70,13.9262944444444,16.1672556422996,5.35710611111111,7.47764318698347
"Florida","6Hz","sine",71,17.5820357142857,16.4914223905514,6.4529,7.28569902614431
"Florida","6Hz","sine",72,18.6106863636364,16.8031886680996,7.96044090909091,7.37408719763191
"Florida","6Hz","sine",73,15.0229863636364,16.4649699812309,8.20652272727273,7.20275930621777
"Florida","6Hz","sine",74,16.41313125,16.7661210372456,9.440036875,7.27492691870629
"Florida","6Hz","sine",75,18.0753454545455,16.595462451387,7.33653318181818,7.18157583090521
"Florida","6Hz","sine",76,18.5003692307692,16.943738445948,6.59373923076923,7.29479957604895
"Florida","6Hz","sine",77,16.9643154166667,16.8460435908031,7.64584125,7.35171251311189
"Florida","6Hz","sine",78,13.7668,16.4054039213816,6.15229875,7.25224447592181
"Florida","6Hz","sine",79,17.1149727272727,16.7920176610511,6.48858818181818,7.29995036435156
"Florida","6Hz","sine",80,16.57315,16.6584613236385,7.36332692307692,6.97921449459631
"Florida","6Hz","sine",81,17.7573303846154,16.4773829641344,6.60256730769231,7.00437106897648
"Florida","6Hz","sine",82,16.5073923076923,16.3069714224942,7.07894230769231,7.03721527113795
"Florida","6Hz","sine",83,13.76365,16.3294609300699,6.8662925,7.07771424841068
"Florida","6Hz","sine",84,19.2757375,16.6118086573427,8.7312875,7.30532390750159
"Florida","6Hz","sine",85,14.9440115384615,16.7927497730451,5.91194230769231,7.30098126976054
"Florida","6Hz","sine",86,16.0834835,16.5960759968214,7.6132555,7.21899679423607
"Florida","6Hz","sine",87,16.6258422727273,16.5284049828353,6.95502545454545,7.15131490612418
"Florida","6Hz","sine",88,17.2117,16.3930618804832,8.09133,7.0628300682348
"Florida","6Hz","sine",89,16.872625,16.9598796835135,8.656005,7.12598529550752
"Florida","6Hz","sine",90,19.105325,16.953225769372,6.44081916666667,6.94570158338631
"Florida","6Hz","sine",91,14.4097384615385,16.7761551749665,6.46149769230769,7.04444879783852
"Florida","6Hz","sine",92,17.0129492307692,16.6792859678957,5.85806653846154,6.8939360756163
"Florida","6Hz","sine",93,15.0186181818182,16.9538629330013,6.10560909090909,7.12669012520308
"Florida","6Hz","sine",94,19.9986458333333,16.8096011148195,7.561,6.9428649433849
"Florida","6Hz","sine",95,19.2025444444444,16.7703886148195,6.74816666666667,6.82568551156672
"Florida","6Hz","sine",96,12.996235,16.5282033875468,6.99816166666667,6.90988661005157
"Florida","6Hz","sine",97,15.0179222222222,16.7128896637706,5.95761555555556,6.99220784256905
"Florida","6Hz","sine",98,19.6461888888889,16.6609204155188,9.51532,7.12938645270891
"Florida","6Hz","sine",99,15.62482,16.790253989899,6.069253,7.24406119444444
"Florida","6Hz","sine",100,16.4412875,16.4668577777778,7.36703125,7.22642767171717
"Florida","8.57Hz","square",1,12.9269375,12.7706855894106,12.3737333333333,11.7624361388611
"Florida","8.57Hz","square",2,11.40755,12.6651549075924,9.58566785714286,11.5867656260406
