"lab","freq","mod","electrode","x","y","amplitudeSNR"
"Florida","8.57Hz","square","E19",-23.6192388587642,58.8318312797812,6.46638073284384
"Florida","8.57Hz","square","E20",-31.3121246459833,41.9182840077502,6.3372745638825
"Florida","8.57Hz","square","E21",-14.1187002915317,105.342066422099,7.17034903713248
"Florida","8.57Hz","square","E22",-26.8737792539972,88.585411736964,6.86628438240148
"Florida","8.57Hz","square","E23",-35.2634825458284,69.6677676887961,6.40310301647129
"Florida","8.57Hz","square","E24",-39.5281102525102,53.3724044414846,6.63332561194389
"Florida","8.57Hz","square","E25",-51.097415472918,96.8083637295249,7.10350207730309
"Florida","8.57Hz","square","E26",-60.5117564493148,76.717478004812,7.00911877273542
"Florida","8.57Hz","square","E27",-56.2717346283799,54.0022587112168,6.57120176422194
"Florida","8.57Hz","square","E28",-50.0298983002845,37.5034658673461,6.43069990333088
"Florida","8.57Hz","square","E29",-39.6304283909149,22.4510456227002,6.84916410984521
"Florida","8.57Hz","square","E30",-28.5960902390953,7.43167134886356,7.27549792534386
"Florida","8.57Hz","square","E31",-14.2590609871468,-4.99065843399723,7.15191813794606
"Florida","8.57Hz","square","E32",-86.719831310897,82.7208230943671,6.89555351254837
"Florida","8.57Hz","square","E33",-86.5427774390136,55.8179182444255,6.72767646746245
"Florida","8.57Hz","square","E34",-73.2735964589411,31.8739532843394,6.72044744621703
"Florida","8.57Hz","square","E35",-58.7070104036568,13.6367088941921,6.93501530658057
"Florida","8.57Hz","square","E36",-45.139000940819,2.34746545549408,7.54594163443415
"Florida","8.57Hz","square","E37",-29.3939238752213,-11.4188613800894,7.03194794021591
"Florida","8.57Hz","square","E38",-111.066561880691,61.2336542760814,7.04374668882752
"Florida","8.57Hz","square","E39",-106.979294016482,12.6447944916077,7.03591508972772
"Florida","8.57Hz","square","E40",-82.0312253490634,0.356499272328901,6.63413292621439
"Florida","8.57Hz","square","E41",-62.3658981365752,-7.23363018257962,6.60873757176084
"Florida","8.57Hz","square","E42",-48.4277069849025,-19.0176228846936,6.75559228382115
"Florida","8.57Hz","square","E43",-132.385776483018,49.089223063604,7.01934539156404
"Florida","8.57Hz","square","E44",-127.856243406767,23.8953117140088,7.26324202614478
"Florida","8.57Hz","square","E45",-102.023724252225,-26.0624191069444,6.63339038128991
"Florida","8.57Hz","square","E46",-77.0757795587277,-24.2279722926707,7.15865367091404
"Florida","8.57Hz","square","E47",-61.3490707363697,-27.4299165836118,7.24819310192351
"Florida","8.57Hz","square","E48",-147.073602828489,55.1905344696692,6.69053470504874
"Florida","8.57Hz","square","E49",-148.427539841507,9.81951733019121,7.05948399391975
"Florida","8.57Hz","square","E50",-87.6147402607277,-51.9804690729627,7.40757960585229
"Florida","8.57Hz","square","E51",-64.3973497966683,-45.8325114211031,7.09138517292839
"Florida","8.57Hz","square","E52",-49.3286473753904,-38.0293353099208,7.59601620402215
"Florida","8.57Hz","square","E53",-31.8703858461666,-30.6802729781934,6.94487557653741
"Florida","8.57Hz","square","E54",-16.3380561246601,-24.5721384105547,7.94954169802646
"Florida","8.57Hz","square","E55",1.86009153028893e-15,-15.1888,7.05447984090069
"Florida","8.57Hz","square","E56",-134.514184844694,-53.5568924748948,7.51615425839041
"Florida","8.57Hz","square","E57",-107.771903337525,-61.2478444600876,7.36780753134177
"Florida","8.57Hz","square","E58",-72.0824426385969,-68.7392048197634,7.68659211051165
"Florida","8.57Hz","square","E59",-49.0164711950736,-60.6384229311954,7.5599809846036
"Florida","8.57Hz","square","E60",-33.5739711579434,-49.4397118183913,7.48442641765271
"Florida","8.57Hz","square","E61",-17.5616376782163,-41.0535015078989,8.27313181766509
"Florida","8.57Hz","square","E62",6.24863782796946e-15,-51.024,7.81003882153805
"Florida","8.57Hz","square","E63",-111.844618176326,-90.215004411638,7.67546819269481
"Florida","8.57Hz","square","E64",-82.7166311762146,-89.8591836311575,7.23343840123711
"Florida","8.57Hz","square","E65",-53.2724548220446,-83.4923179534095,8.16118819821769
"Florida","8.57Hz","square","E66",-32.9982073155436,-70.0930032026051,7.8599133299909
"Florida","8.57Hz","square","E67",-14.9843695227892,-59.7435310808167,8.07841442000012
"Florida","8.57Hz","square","E68",-70.8544927411257,-119.808404222733,7.8674303319153
"Florida","8.57Hz","square","E69",-50.7971288111611,-109.433046236237,7.8685861054054
"Florida","8.57Hz","square","E70",-29.8089612459443,-93.6860097636664,9.08479945516969
"Florida","8.57Hz","square","E71",-12.5941162529112,-75.6650426009803,9.04329548004302
"Florida","8.57Hz","square","E72",8.04078595384169e-15,-65.658,8.43195302666799
"Florida","8.57Hz","square","E73",-34.2137515878335,-132.964697639208,8.08527427810326
"Florida","8.57Hz","square","E74",-15.7052501655887,-118.019611578908,9.20799368615214
"Florida","8.57Hz","square","E75",1.18239648457677e-14,-96.55,12.168625672052
"Florida","8.57Hz","square","E76",12.5941162529112,-75.6650426009803,10.3586213294152
"Florida","8.57Hz","square","E77",14.9843695227892,-59.7435310808167,9.48922758534506
"Florida","8.57Hz","square","E78",17.5616376782163,-41.0535015078989,8.42643108110226
"Florida","8.57Hz","square","E79",16.3380561246601,-24.5721384105547,7.31002936510019
"Florida","8.57Hz","square","E80",14.2590609871468,-4.99065843399723,7.0571637619963
"Florida","8.57Hz","square","E81",1.66253150865048e-14,-135.756,8.59408937631152
"Florida","8.57Hz","square","E82",15.7052501655887,-118.019611578908,8.82975747160768
"Florida","8.57Hz","square","E83",29.8089612459443,-93.6860097636664,9.93876900764923
"Florida","8.57Hz","square","E84",32.9982073155436,-70.0930032026051,7.98573699908479
"Florida","8.57Hz","square","E85",33.5739711579434,-49.4397118183913,7.59586850953161
"Florida","8.57Hz","square","E86",31.8703858461666,-30.6802729781934,7.32077112335509
"Florida","8.57Hz","square","E87",29.3939238752213,-11.4188613800894,7.19547550164373
"Florida","8.57Hz","square","E88",34.2137515878335,-132.964697639208,7.71117126117411
"Florida","8.57Hz","square","E89",50.7971288111611,-109.433046236237,7.31978005514644
